proteinIDA,proteinIDB,interfaceA,interfaceB,clusterIDA,clusterIDB,entryID
8ZYF-2-B-1-11870,8ZYF-2-E-3-7300,/data4/hfxie/Dataset/Interfaces/8ZYF/2/B-E-B,/data4/hfxie/Dataset/Interfaces/8ZYF/2/B-E-E,11870,7300,8ZYF
9FC2-1-A-1-11870,9FC2-1-B-2-11623,/data4/hfxie/Dataset/Interfaces/9FC2/1/A-B-A,/data4/hfxie/Dataset/Interfaces/9FC2/1/A-B-B,11870,11623,9FC2
8HN6-1-B-2-10418,8HN6-1-F-3-11870,/data4/hfxie/Dataset/Interfaces/8HN6/1/B-F-B,/data4/hfxie/Dataset/Interfaces/8HN6/1/B-F-F,10418,11870,8HN6
7DK2-3-H-2-11149,7DK2-3-I-3-11870,/data4/hfxie/Dataset/Interfaces/7DK2/3/H-I-H,/data4/hfxie/Dataset/Interfaces/7DK2/3/H-I-I,11149,11870,7DK2
8RJ7-1-A-1-11870,8RJ7-1-B-2-4425,/data4/hfxie/Dataset/Interfaces/8RJ7/1/A-B-A,/data4/hfxie/Dataset/Interfaces/8RJ7/1/A-B-B,11870,4425,8RJ7
8ZPQ-2-E-3-11870,8ZPQ-2-B-2-2582,/data4/hfxie/Dataset/Interfaces/8ZPQ/2/E-B-E,/data4/hfxie/Dataset/Interfaces/8ZPQ/2/E-B-B,11870,2582,8ZPQ
7X7U-1-G-1-11870,7X7U-1-L-2-2677,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-L-G,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-L-L,11870,2677,7X7U
7X7U-1-G-1-11870,7X7U-1-C-7-5953,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-C-G,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-C-C,11870,5953,7X7U
7X7U-1-G-1-11870,7X7U-1-A-5-8282,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-A-G,/data4/hfxie/Dataset/Interfaces/7X7U/1/G-A-A,11870,8282,7X7U
7DQA-1-A-1-10935,7DQA-1-C-2-11870,/data4/hfxie/Dataset/Interfaces/7DQA/1/A-C-A,/data4/hfxie/Dataset/Interfaces/7DQA/1/A-C-C,10935,11870,7DQA
8DTK-1-A-1-11870,8DTK-1-C-3-5196,/data4/hfxie/Dataset/Interfaces/8DTK/1/A-C-A,/data4/hfxie/Dataset/Interfaces/8DTK/1/A-C-C,11870,5196,8DTK
9KVD-1-F-4-2239,9KVD-1-C-5-11870,/data4/hfxie/Dataset/Interfaces/9KVD/1/F-C-F,/data4/hfxie/Dataset/Interfaces/9KVD/1/F-C-C,2239,11870,9KVD
