proteinID,esm3EmbeddingFile,esmcEmbeddingFile
8ZYF-2-B-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8ZYF-2-B,/data4/hfxie/Dataset/ESMCEmbeddings/8ZYF-1
8ZYF-2-E-3-7300,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8ZYF-2-E,/data4/hfxie/Dataset/ESMCEmbeddings/8ZYF-3
9FC2-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9FC2-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/9FC2-1
9FC2-1-B-2-11623,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9FC2-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/9FC2-2
8HN6-1-B-2-10418,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8HN6-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8HN6-2
8HN6-1-F-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8HN6-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/8HN6-3
7DK2-3-H-2-11149,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DK2-3-H,/data4/hfxie/Dataset/ESMCEmbeddings/7DK2-2
7DK2-3-I-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DK2-3-I,/data4/hfxie/Dataset/ESMCEmbeddings/7DK2-3
8RJ7-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8RJ7-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/8RJ7-1
8RJ7-1-B-2-4425,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8RJ7-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8RJ7-2
8ZPQ-2-E-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8ZPQ-2-E,/data4/hfxie/Dataset/ESMCEmbeddings/8ZPQ-3
